"stop_id","stop_name","stop_lon","stop_lat"
"5033034","Eckartshausen, Eckartshausen-Ilshofen",9.9370676718,49.1523612898
"5032003","Heilbronn, Heilbronn Hauptbahnhof",9.2077531492,49.1430862882
"5033014","Crailsheim, Crailsheim",10.0642735829,49.1384535242
"5032302","Neuhütten, Post",9.485391200699999,49.1051690228
"5032319","Neuhütten, Friedhof",9.4832588228,49.1013654127
"5032002","Nordheim, Nordheim",9.1489369461,49.1096379215
"5032318","Wüstenrot, Weihenbronn",9.4810614205,49.0950532881
"5032321","Neuhütten, B39 Abzweig",9.4787061392,49.0936153929
"5033033","Schwäbisch Hall, Schwäbisch Hall-Hessental",9.7678004796,49.096890665800004
"5032317","Wüstenrot, Freibad",9.4634813449,49.0878418489
"5032450","Wüstenrot, Schmellenhof",9.4384059327,49.0853952245
"5032451","Wüstenrot, Silberstollen",9.4524497736,49.085170111800004
"5033206","Mainhardt, Bubenorbis",9.6110753144,49.0852118314
"5032316","Wüstenrot, Schule",9.461692865,49.083955520900005
"5032449","Wüstenrot, Stangenbach",9.4349005726,49.0821804015
"5032315","Wüstenrot, Schönblickstraße",9.455500736,49.0819749536
"5033222","Mainhardt, Hohenstraßen Ortsmitte",9.5314626,49.0808315353
"5032301","Wüstenrot, Firma Zügel",9.4619233959,49.0807714531
"5033204","Mainhardt, Schule",9.5561009041,49.0807063422
"5033201","Mainhardt, Wendeplatte",9.5571822525,49.080701121800004
"5033221","Mainhardt, Hohenstraßen Grüner Baum",9.532927147,49.0782620691
"5033220","Mainhardt, Stock",9.5792776051,49.077328151500005
"5032320","Wüstenrot, Vorderbüchelberg Abzweig",9.4638418177,49.0765824983
"5033219","Mainhardt, Industrie",9.5588850224,49.076304805300005
"5033223","Mainhardt, Turmuhrenmuseum",9.5568986333,49.0761525614
"5033214","Mainhardt, B14",9.5568810222,49.07580196000001
"5033218","Mainhardt, Maßstabfabrik",9.5486194642,49.0750682582
"5007566","Großerlach, Hals",9.4989401174,49.0741969387
"5004970","Großerlach, Böhringsweiler",9.511150321599999,49.0730104617
"5032448","Wüstenrot, Lohmühle",9.4243180499,49.0708450447
"5004969","Großerlach, Altfürstenhütte",9.5066711697,49.0699639765
"5033215","Mainhardt, Abzw. Hohenegarten",9.534877348,49.069953459400004
"5033217","Mainhardt, Abzw. Hohenegarten B14",9.535146601700001,49.0695385795
"5032001","Lauffen (N), Lauffen (N)",9.1460861844,49.07647053589999
"5003730","Spiegelberg, Vorderbüchelberg",9.4563460811,49.0651926398
"5004968","Großerlach, Neufürstenhütte",9.49965395,49.06350240570001
"5032313","Wüstenrot, Neulautern",9.4324623232,49.059952494
"5004967","Großerlach, Kleinerlach",9.4993765026,49.0590345975
"5007504","Großerlach, Schule",9.5208918918,49.0570061106
"5007505","Großerlach, Liemersbach",9.5404691494,49.0555671918
"5004965","Großerlach, Rathaus",9.5149028586,49.053400254699994
"5032314","Wüstenrot, Lautertal",9.4380857225,49.0536998227
"5004966","Großerlach, Oberfischbach",9.4975237624,49.052999998000004
"5007580","Spiegelberg, Denteltal",9.4528610515,49.052150046899996
"5004964","Großerlach, Mittelfischbach Abzweigung",9.5045788111,49.049867095799996
"5005045","Spiegelberg, Großhöchberg",9.4696641671,49.049574039
"5004908","Großerlach, Abzweig Neufürstenhütte",9.5141505299,49.0494381448
"5005596","Gronau, Prevorst Feuerwehr",9.3952779489,49.0503567218
"5006798","Gronau, Prevorst Löwen",9.3977127625,49.0503213684
"5004960","Spiegelberg, Gieshof",9.4435735672,49.0477441266
"5007506","Grab, Schönbronn",9.5874219265,49.0460217976
"5007514","Großerlach, Erlach",9.5340500955,49.0425946775
"5032310","Beilstein, Schulzentrum",9.3115862616,49.0445079085
"5007518","Grab, Schwalbenflug",9.585139232,49.0415104212
"5004962","Großerlach, Erlach Abzweig",9.518806734,49.0407220176
"5032304","Beilstein, Langhans",9.3130178583,49.0415906281
"5004959","Spiegelberg, Löwensteiner Straße",9.4467077537,49.0387670064
"5005143","Grab, Limesweg",9.579073338,49.038591666799995
"5004961","Spiegelberg, Großhöchberger Straße",9.4468639691,49.0378851849
"5032322","Beilstein, Apotheke",9.3157683115,49.0396228702
"5032324","Beilstein, Schmidhausen Abzweig",9.3299078128,49.0391875952
"5005044","Spiegelberg, Schule",9.4501361555,49.036748450699996
"5007449","Spiegelberg, Parkplatz Zollstock",9.4268733381,49.0368729339
"5004958","Spiegelberg, Sulzbacher Straße",9.4466335376,49.0365912301
"5005047","Spiegelberg, Hüttlen",9.4357337707,49.0366419488
"5005106","Grab, Hohenbrach",9.5594913825,49.0364853227
"5006996","Grab, Friedhof",9.5788308072,49.036551695
"5032323","Beilstein, Breslauer Straße",9.3212859728,49.0383847031
"5007507","Sulzbach (M), Liemannsklinge Abzweig",9.5339759861,49.035680162199995
"5003347","Gronau, Krone",9.3409739717,49.035378738700004
"5004906","Sulzbach (M), Berwinkel",9.5161552415,49.032991797200005
"5006672","Jux, Kindergarten",9.437561025499999,49.0329123364
"5003682","Kirchheim (N), Gemeindehalle",9.138041188799999,49.043192351200005
"5005724","Kirchheim (N), Schillerplatz",9.1445504709,49.0426448307
"5007515","Grab, Morbach",9.593643012700001,49.031998338099996
"5005615","Gronau, Schule",9.336990673899999,49.0328367351
"5004957","Spiegelberg, Dauernberg",9.459761746,49.030523951899994
"5005046","Jux, Jux",9.4385374635,49.0304268307
"5005048","Nassach, Nassach",9.4090379247,49.0300767256
"5007538","Grab, Butzberg",9.5979924199,49.0297728087
"5005725","Hohenstein, Post",9.120759230900001,49.0406221339
"5003356","Oberstenfeld, Mineralfreibad",9.3176161428,49.031264236300004
"5005700","Bönnigheim, Burgplatz",9.090739381,49.041980606500005
"5005723","Kirchheim (N), Kirchheim (N)",9.150881928899999,49.0376371629
"5005727","Bönnigheim, Schulzentrum",9.0975350411,49.0408150657
"5005726","Bönnigheim, Kirchheimer Straße",9.1008582665,49.040596385
